Letterboxd URI,Name,Year,Average Rating,Watches,Likes,Updated
https://boxd.it/wupe,#Home,2021,3.86,12978,,2026-08-12T10:37:50Z
https://boxd.it/6oFS,'Til Madness Do Us Part,2013,4.26,3195,,2026-08-12T10:37:51Z
https://boxd.it/1EmM,(500) Days of Summer,2009,3.65,3299536,,2026-08-12T10:37:52Z
https://boxd.it/WcBg7,(500) Days of Summer,2009,4.0,,,2026-08-12T10:37:53Z
https://boxd.it/1XLw,(T)Raumschiff Surprise - Periode 1,2004,3.16,19238,,2026-08-12T10:37:53Z
https://boxd.it/44gO,*Corpus Callosum,2002,3.82,1475,,2026-08-12T10:37:54Z
https://boxd.it/eIo4,...No Lies,1973,3.74,675,,2026-08-12T10:37:55Z
https://boxd.it/8x6c,0.5 mm,2014,4.01,3067,,2026-08-12T10:37:56Z
https://boxd.it/1XH9RN,10 Things I Hate About You,1999,5.0,,,2026-08-12T10:37:57Z
https://boxd.it/23AO,10 Things I Hate About You,1999,4.07,4252276,,2026-08-12T10:37:56Z
https://boxd.it/jt5w,100,2019,3.09,1523,,2026-08-12T10:37:58Z
https://boxd.it/NpbA,100 METERS,2025,4.0,115755,,2026-08-12T10:37:59Z
https://boxd.it/fvcG,100 Years,2017,3.24,369,,2026-08-12T10:37:59Z
https://boxd.it/a8tk,100 Yen Love,2014,3.67,6149,,2026-08-12T10:38:00Z
https://boxd.it/2auI,12 Angry Men,1957,4.63,1670008,,2026-08-12T10:38:01Z
https://boxd.it/WcC2F,12 Angry Men,1957,4.5,,,2026-08-12T10:38:01Z
https://boxd.it/1cEQ2f,12 Years a Slave,2013,4.0,,,2026-08-12T10:38:03Z
https://boxd.it/2D2e,12 Years a Slave,2013,4.18,748909,,2026-08-12T10:38:02Z
https://boxd.it/1cEPZv,127 Hours,2010,4.5,,,2026-08-12T10:38:04Z
https://boxd.it/SLa,127 Hours,2010,3.48,497050,,2026-08-12T10:38:04Z
https://boxd.it/63crUz,12th Fail,2023,4.0,,,2026-08-12T10:38:06Z
https://boxd.it/I1sM,12th Fail,2023,4.15,72402,,2026-08-12T10:38:05Z
https://boxd.it/jqc,13 Assassins,2010,3.9,61526,,2026-08-12T10:38:07Z
https://boxd.it/elNg,13th,2016,4.31,122075,,2026-08-12T10:38:08Z
https://boxd.it/1cEQmz,1917,2019,4.0,,,2026-08-12T10:38:11Z
https://boxd.it/jj4y,1917,2019,4.13,1966308,,2026-08-12T10:38:10Z
https://boxd.it/60hs,1971,2007,3.58,567,,2026-08-12T10:38:12Z
https://boxd.it/i8ke,1985,2018,3.86,7478,,2026-08-12T10:38:12Z
https://boxd.it/7jOs,1: Nenokkadine,2014,3.54,7877,,2026-08-12T10:38:13Z
https://boxd.it/WcBCd,1: Nenokkadine,2014,4.5,,,2026-08-12T10:38:14Z
https://boxd.it/OIke,1st Kiss,2025,3.65,2051,,2026-08-12T10:38:15Z
https://boxd.it/eEjh2j,1st Kiss,2025,4.0,,,2026-08-12T10:38:15Z
https://boxd.it/WcC3j,2.0,2018,4.0,,,2026-08-12T10:38:17Z
https://boxd.it/cXRm,2.0,2018,2.34,18422,,2026-08-12T10:38:16Z
https://boxd.it/DRPy,"20,000 Species of Bees",2023,3.9,33355,,2026-08-12T10:38:18Z
https://boxd.it/2bf0,2001: A Space Odyssey,1968,4.23,1563925,,2026-08-12T10:38:18Z
https://boxd.it/WcCb3,2001: A Space Odyssey,1968,4.5,,,2026-08-12T10:38:19Z
https://boxd.it/29tu,2046,2004,4.05,150404,,2026-08-12T10:38:20Z
https://boxd.it/4h3Byl,2046,2004,4.0,,,2026-08-12T10:38:21Z
https://boxd.it/dSZC,20th Century Nostalgia,1997,3.8,2226,,2026-08-12T10:38:22Z
https://boxd.it/1XHa4x,20th Century Women,2016,3.5,,,2026-08-12T10:38:23Z
https://boxd.it/bqU6,20th Century Women,2016,4.01,241044,,2026-08-12T10:38:23Z
https://boxd.it/2ajK,21 Grams,2003,3.74,116839,,2026-08-12T10:38:24Z
https://boxd.it/cKPi,24,2016,3.6,15906,,2026-08-12T10:38:25Z
https://boxd.it/OKMO,24: Redemption,2008,3.27,4461,,2026-08-12T10:38:26Z
https://boxd.it/duC,25th Anniversary Studio Ghibli Concert,2008,4.5,2026,,2026-08-12T10:38:26Z
https://boxd.it/qN06,27,2023,3.56,23504,,2026-08-12T10:38:27Z
https://boxd.it/4cJY,27 Down,1974,3.62,629,,2026-08-12T10:38:28Z
https://boxd.it/2aXU,28 Days Later,2002,3.73,1450837,,2026-08-12T10:38:29Z
https://boxd.it/MwlA,28 Years Later: The Bone Temple,2026,3.82,800521,,2026-08-12T10:38:29Z
https://boxd.it/2mmG,3 Deewarein,2003,3.49,509,,2026-08-12T10:38:30Z
https://boxd.it/1Dsa,3 Idiots,2009,4.17,229440,,2026-08-12T10:38:31Z
https://boxd.it/WcBlV,3 Idiots,2009,4.5,,,2026-08-12T10:38:31Z
https://boxd.it/YPs,3 Women,1977,4.14,79534,,2026-08-12T10:38:32Z
https://boxd.it/joJw,"3,000 Miles",2017,3.64,434,,2026-08-12T10:38:33Z
https://boxd.it/1nuLEd,3-Iron,2004,3.5,,,2026-08-12T10:38:34Z
https://boxd.it/28WK,3-Iron,2004,4.09,73805,,2026-08-12T10:38:34Z
https://boxd.it/uFi,301/302,1995,3.62,2625,,2026-08-12T10:38:35Z
https://boxd.it/30haev,303,2018,3.5,,,2026-08-12T10:38:37Z
https://boxd.it/hNBe,303,2018,3.89,17426,,2026-08-12T10:38:36Z
https://boxd.it/3ci2,36 Chowringhee Lane,1981,3.58,345,,2026-08-12T10:38:38Z
https://boxd.it/kWb6,37 Seconds,2019,3.71,9782,,2026-08-12T10:38:38Z
https://boxd.it/23g0,3:10 to Yuma,2007,3.79,202829,,2026-08-12T10:38:39Z
https://boxd.it/27DW,"4 Months, 3 Weeks and 2 Days",2007,4.25,65854,,2026-08-12T10:38:40Z
https://boxd.it/2qSw,404: Error Not Found,2011,3.39,1388,,2026-08-12T10:38:41Z
https://boxd.it/16G4,5 Centimeters per Second,2007,3.51,172326,,2026-08-12T10:38:41Z
https://boxd.it/WcCCt,5 Centimeters per Second,2007,3.5,,,2026-08-12T10:38:42Z
https://boxd.it/10Tw,50/50,2011,3.61,341215,,2026-08-12T10:38:43Z
https://boxd.it/XXng,6 Days,2025,3.82,16549,,2026-08-12T10:38:44Z
https://boxd.it/fnQS,7 Days in Entebbe,2018,2.89,8732,,2026-08-12T10:38:47Z
https://boxd.it/1tLc,7 Men from Now,1956,3.8,8060,,2026-08-12T10:38:48Z
https://boxd.it/1gAU,71 Fragments of a Chronology of Chance,1994,3.77,19394,,2026-08-12T10:38:49Z
https://boxd.it/4EgA,79 Springs,1969,3.84,1312,,2026-08-12T10:38:49Z
https://boxd.it/1xDQ,7G Rainbow Colony,2004,3.65,4964,,2026-08-12T10:38:50Z
https://boxd.it/2bew,8 Mile,2002,3.64,674002,,2026-08-12T10:38:51Z
https://boxd.it/1LL0,84 Charing Cross Road,1987,3.75,8442,,2026-08-12T10:38:51Z
https://boxd.it/25ke,88 Minutes,2007,2.43,18657,,2026-08-12T10:38:52Z
https://boxd.it/1GvG,8x10 Tasveer,2009,3.02,2019,,2026-08-12T10:38:53Z
https://boxd.it/2aqm,8½,1963,4.26,272963,,2026-08-12T10:38:54Z
https://boxd.it/7jWrBh,8½,1963,4.5,,,2026-08-12T10:38:54Z
https://boxd.it/3oFW,9,2005,3.48,8865,,2026-08-12T10:38:55Z
https://boxd.it/1Jqk,9 Souls,2003,4.01,5048,,2026-08-12T10:38:56Z
https://boxd.it/7aPQ,9 Variations on a Dance Theme,1967,3.61,990,,2026-08-12T10:38:56Z
https://boxd.it/WcCfT,96,2018,4.5,,,2026-08-12T10:38:58Z
https://boxd.it/fHYM,96,2018,3.99,28487,,2026-08-12T10:38:57Z
https://boxd.it/EhA,964 Pinocchio,1991,3.34,40090,,2026-08-12T10:38:59Z
https://boxd.it/1XHadJ,99 Songs,2019,5.0,,,2026-08-12T10:39:00Z
https://boxd.it/jTuC,99 Songs,2019,3.13,544,,2026-08-12T10:38:59Z
