Date,Name,Year,Letterboxd URI
2024-01-15,Time Piece,1965,https://boxd.it/IrE
2024-01-31,Isle of Flowers,1989,https://boxd.it/POU
2024-02-21,Made of Air,2014,https://boxd.it/e88k
2024-06-19,Óbur,2024,https://boxd.it/MHtU
2024-06-25,Brouillard #14,2013,https://boxd.it/9dxE
2024-07-07,Zita Sempri,2022,https://boxd.it/FYvO
2024-08-02,Spacy,1981,https://boxd.it/7g5a
2024-08-05,Ulysse,1983,https://boxd.it/7BzA
2024-08-07,Barres,1984,https://boxd.it/4HHY
2024-08-23,Scavengers Reign,2023,https://boxd.it/K7fI
2024-09-30,laced up,2024,https://boxd.it/Ot1G
2024-10-06,Scars We Love,2024,https://boxd.it/MLVe
2024-12-20,Fireworks,1947,https://boxd.it/SjA
2024-12-24,I Miss Sonia Henie,1971,https://boxd.it/HrI
2024-12-27,The Woman with Two Heads,1977,https://boxd.it/5NxW
2024-12-28,Hinterlands,2016,https://boxd.it/fhLM
2024-12-28,The Chorus,1982,https://boxd.it/4ePu
2025-01-12,The Woman Who Powders Herself,1972,https://boxd.it/3y42
2025-01-26,Björk: Cornucopia,2025,https://boxd.it/JyRW
2025-01-27,Neighbours,1952,https://boxd.it/BtS
2025-06-22,Brideshead Revisited,1981,https://boxd.it/fFik
2025-07-04,Dyketactics,1974,https://boxd.it/7ERM
2025-07-06,Roseblood,1974,https://boxd.it/hn7W
2025-07-24,I'm Not Everything I Want to Be,2024,https://boxd.it/xkzK
2025-08-24,M3LL155X,2015,https://boxd.it/yjo4
2025-08-31,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2025-12-08,Troya,2019,https://boxd.it/pk9c
2025-12-21,Two People Exchanging Saliva,2024,https://boxd.it/PM3e
2026-01-05,Soldiers of Light,2025,https://boxd.it/NEAU
2026-01-10,The Elephant,2025,https://boxd.it/VCO2
2026-01-11,Playing God,2024,https://boxd.it/OoPc
2026-05-31,What is the Act of Creation?,1987,https://boxd.it/ipA4
