Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-16,Filth,,https://boxd.it/QGTc0,

Position,Name,Year,URL,Description
1,An Aria on Gazes,1992,https://boxd.it/4Ag2,
2,Re-Wind,1988,https://boxd.it/35VQ,
3,Secret Chronicle: She Beast Market,1974,https://boxd.it/47qC,
4,The Image,1975,https://boxd.it/2ims,
5,A New Love in Tokyo,1994,https://boxd.it/3F36,
6,Secret Things,2002,https://boxd.it/1c2O,
7,Sex Garage,1972,https://boxd.it/ipBm,
8,Much Loved,2015,https://boxd.it/baaG,
9,Thundercrack!,1975,https://boxd.it/K8a,
10,Through the Looking Glass,1976,https://boxd.it/3XJ0,
11,Nightdreams,1981,https://boxd.it/2l8S,
12,Score,1973,https://boxd.it/2jok,
13,Paprika,1991,https://boxd.it/E2A,
14,Caligula: The Ultimate Cut,2023,https://boxd.it/MeNQ,
15,Sweet Movie,1974,https://boxd.it/28BM,
16,SexWorld,1978,https://boxd.it/a9GO,
17,Debauchery,1983,https://boxd.it/3ll0,
18,Top Model,1988,https://boxd.it/1ldm,
19,The Devil's Honey,1986,https://boxd.it/1koS,
20,Appassionata,1974,https://boxd.it/2RcC,
21,9 Songs,2004,https://boxd.it/702,
22,Ken Park,2002,https://boxd.it/21b8,
23,Baise-moi,2000,https://boxd.it/25Fc,
24,9½ Weeks,1986,https://boxd.it/1XaA,
25,Glue,2006,https://boxd.it/1VjU,
26,The Last Woman,1976,https://boxd.it/24Ww,
27,Silence Is a Falling Body,2017,https://boxd.it/iOna,
28,Sex and Lucía,2001,https://boxd.it/28UE,
29,The Brown Bunny,2003,https://boxd.it/1RnI,
30,Post Tenebras Lux,2012,https://boxd.it/3wTs,
31,"Ana, My Love",2017,https://boxd.it/fesM,
32,The Woman Who Invented Love,1980,https://boxd.it/5Sl2,
33,Leap Year,2010,https://boxd.it/6EU,
34,The Lesbian Alien Dark Room Fisting Operetta on Venus,2024,https://boxd.it/GnaG,
35,À l'aventure,2008,https://boxd.it/5de,
36,Doriana Grey,1976,https://boxd.it/2jgK,
37,Tarzan-X: Shame of Jane,1995,https://boxd.it/5YM4,
