Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-06,French shit ,,https://boxd.it/AaODs,Ptnnn c'est la vie

Position,Name,Year,URL,Description
1,"Paris, 13th District",2021,https://boxd.it/s0Ky,
2,Divines,2016,https://boxd.it/dLDY,
3,What Time Is It There?,2001,https://boxd.it/1ybe,
4,The Bridge of Arts,2004,https://boxd.it/3tCS,
5,Caché,2005,https://boxd.it/2amY,
6,La Vie de Bohème,1992,https://boxd.it/1pZa,
7,"The Tree, the Mayor and the Mediatheque",1993,https://boxd.it/4lEI,
8,A Tale of Springtime,1990,https://boxd.it/1pZ0,
9,Queen Margot,1994,https://boxd.it/1Wec,
10,My Sex Life... or How I Got Into an Argument,1996,https://boxd.it/2Xhe,
11,Irreversible,2002,https://boxd.it/29as,
12,Vivre Sa Vie,1962,https://boxd.it/28s6,
13,The Earrings of Madame de...,1953,https://boxd.it/2lom,
14,Duelle (Une Quarantaine),1976,https://boxd.it/2WK,
15,The Captive,2000,https://boxd.it/Lcs,
16,Irma Vep,1996,https://boxd.it/1vYs,
17,Toute une nuit,1982,https://boxd.it/9oA,
18,Jules and Jim,1962,https://boxd.it/28rM,
19,PlayTime,1967,https://boxd.it/1WLK,
20,Le Cercle Rouge,1970,https://boxd.it/1Tjy,
21,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,
22,City of Pirates,1983,https://boxd.it/2cwG,
23,One Hundred and One Nights,1995,https://boxd.it/3iuI,
24,Sombre,1998,https://boxd.it/oA2,
25,Goodbye First Love,2011,https://boxd.it/2SYW,
26,Venus in Fur,2013,https://boxd.it/5WhS,
27,Shoot the Piano Player,1960,https://boxd.it/285w,
28,Band of Outsiders,1964,https://boxd.it/20Aw,
29,"OSS 117: Cairo, Nest of Spies",2006,https://boxd.it/1MIm,
30,Despite the Night,2015,https://boxd.it/aPmQ,
31,Three Crowns of the Sailor,1983,https://boxd.it/1hQ,
32,The Fire Within,1963,https://boxd.it/26AM,
33,Beau Travail,1999,https://boxd.it/1NI8,
34,The Mouth Agape,1974,https://boxd.it/3gEm,
35,The Nun,1966,https://boxd.it/WbK,
36,The Secret of the Grain,2007,https://boxd.it/20q2,
37,Agatha and the Limitless Readings,1981,https://boxd.it/6oi,
38,Stolen Kisses,1968,https://boxd.it/2aL0,
39,Le Trou,1960,https://boxd.it/1nSw,
40,That Obscure Object of Desire,1977,https://boxd.it/22zg,
41,Amour,2012,https://boxd.it/34Q6,
42,News from Home,1976,https://boxd.it/34TO,
43,A New Life,2002,https://boxd.it/3q1O,
44,Touki Bouki,1973,https://boxd.it/2H44,
45,A Prophet,2009,https://boxd.it/1BGE,
46,Céline and Julie Go Boating,1974,https://boxd.it/1sGA,
47,Red Rooms,2023,https://boxd.it/ym4c,
48,Diabolique,1955,https://boxd.it/29we,
49,The Wages of Fear,1953,https://boxd.it/2aSK,
50,The Truth,1960,https://boxd.it/d3Q,
51,Histoire(s) du cinéma,1989,https://boxd.it/Mvuc,
52,"Mektoub, My Love: Canto Uno",2017,https://boxd.it/bdhK,
53,Daughters of Darkness,1971,https://boxd.it/NMs,
54,L'Argent,1983,https://boxd.it/XIg,
55,Baise-moi,2000,https://boxd.it/25Fc,
56,Every Man for Himself,1980,https://boxd.it/3NuY,
57,Earth Light,1970,https://boxd.it/2Yqc,
58,Secret Things,2002,https://boxd.it/1c2O,
