Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-03,Priority 26' Watchlist ,,https://boxd.it/tzpdw,Needed in my veins

Position,Name,Year,URL,Description
1,Divorce Italian Style,1961,https://boxd.it/1DNs,
2,At the First Breath of Wind,2002,https://boxd.it/6x2U,
3,Eros + Massacre,1969,https://boxd.it/2HSo,
4,Marketa Lazarová,1967,https://boxd.it/1uSS,
5,Drowning by Numbers,1988,https://boxd.it/1rYe,
6,On the Silver Globe,1988,https://boxd.it/1sAM,
7,Kwaidan,1964,https://boxd.it/1kbY,
8,Red Desert,1964,https://boxd.it/1ttW,
9,Il Sorpasso,1962,https://boxd.it/1y7Q,
10,Close Your Eyes,2023,https://boxd.it/BGhm,
11,The Conformist,1970,https://boxd.it/20cE,
12,HyperNormalisation,2016,https://boxd.it/eOGy,
13,The Weeping Meadow,2004,https://boxd.it/177k,
14,The Century of the Self,2002,https://boxd.it/BnA,
15,Solaris,1972,https://boxd.it/2a2Y,
16,A Woman Under the Influence,1974,https://boxd.it/1myg,
17,Morvern Callar,2002,https://boxd.it/1GDU,
18,Taking Off,1971,https://boxd.it/hnq,
19,Castle of Purity,1972,https://boxd.it/Knu,
20,"sex, lies, and videotape",1989,https://boxd.it/28Oc,
21,The Noisy Requiem,1988,https://boxd.it/3xKc,
22,Mystery Train,1989,https://boxd.it/1Ub6,
23,Grey Gardens,1975,https://boxd.it/1INM,
24,There Will Be Blood,2007,https://boxd.it/20Z2,
25,Andrei Rublev,1966,https://boxd.it/29lg,
26,Red Beard,1965,https://boxd.it/251m,
27,Hard to Be a God,2013,https://boxd.it/3Ido,
28,The New World,2005,https://boxd.it/1TVW,
29,Days and Nights in the Forest,1970,https://boxd.it/1bM2,
30,Birth,2004,https://boxd.it/1VvQ,
31,Confidence,1980,https://boxd.it/GM6,
32,Leningrad Cowboys Go America,1989,https://boxd.it/1TLs,
33,Girl with a Suitcase,1961,https://boxd.it/Fqo,
34,That Obscure Object of Desire,1977,https://boxd.it/22zg,
35,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,
36,Youth,2015,https://boxd.it/9Y7S,
37,Phoenix,2014,https://boxd.it/7u46,
38,A Man Escaped,1956,https://boxd.it/1MzY,
39,Iruvar,1997,https://boxd.it/H2o,
40,Through a Glass Darkly,1961,https://boxd.it/1TrW,
41,To the Left of the Father,2001,https://boxd.it/gJU,
42,A Bride for Rip Van Winkle,2016,https://boxd.it/dj9c,
43,Love Letter,1995,https://boxd.it/LMA,
44,Inherent Vice,2014,https://boxd.it/5hla,
45,Lone Star,1996,https://boxd.it/1tge,
46,Swallowtail Butterfly,1996,https://boxd.it/20b2,
47,PlayTime,1967,https://boxd.it/1WLK,
48,Shoot the Piano Player,1960,https://boxd.it/285w,
49,Shadows of Forgotten Ancestors,1965,https://boxd.it/1tbS,
50,I Knew Her Well,1965,https://boxd.it/ija,
51,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
52,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
53,The Night Porter,1974,https://boxd.it/1tsk,
54,Mandala,1971,https://boxd.it/3yj2,
55,The Brick and the Mirror,1966,https://boxd.it/4IEG,
56,Tropical Malady,2004,https://boxd.it/1TCA,
57,Pappa ante Portas,1991,https://boxd.it/23WK,
58,This Transient Life,1970,https://boxd.it/3y8S,
59,Opening Night,1977,https://boxd.it/1f4e,
60,La Notte,1961,https://boxd.it/10iU,
61,The Hole,1998,https://boxd.it/LDo,
62,A Lake,2008,https://boxd.it/19iu,
63,Toute une nuit,1982,https://boxd.it/9oA,
64,Fragile as the World,2001,https://boxd.it/dk80,
65,Love & Pop,1998,https://boxd.it/2sv0,
66,"The Tree, the Mayor and the Mediatheque",1993,https://boxd.it/4lEI,
67,Scenes from a Marriage,1973,https://boxd.it/rx6u,
68,World on a Wire,1973,https://boxd.it/B9me,
69,The Red Shoes,1948,https://boxd.it/1EXI,
70,Céline and Julie Go Boating,1974,https://boxd.it/1sGA,
71,Histoire(s) du cinéma,1989,https://boxd.it/Mvuc,
72,Joint Security Area,2000,https://boxd.it/26Ja,
73,Deep End,1970,https://boxd.it/i8m,
74,In the Bedroom,2001,https://boxd.it/27Fo,
75,Mephisto,1981,https://boxd.it/1SN8,
76,Johatsu - Into Thin Air,2024,https://boxd.it/Ly2y,
77,Audition,1999,https://boxd.it/1UHm,
78,The House That Jack Built,2018,https://boxd.it/dWO4,
79,These Encounters of Theirs,2006,https://boxd.it/3Fx6,
80,Regular Lovers,2005,https://boxd.it/QhM,
81,Pickpocket,1959,https://boxd.it/29O8,
82,Happy as Lazzaro,2018,https://boxd.it/hiVs,
83,War and Peace,1968,https://boxd.it/1nRy,
84,The Principles of Pleasure,2022,https://boxd.it/BpaI,
85,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
86,36 Fillette,1988,https://boxd.it/2aky,
87,Theorem,1968,https://boxd.it/237C,
88,Late Spring,1949,https://boxd.it/1DkK,
89,"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,https://boxd.it/4gcu,
90,The Whale,2022,https://boxd.it/tw4c,
91,Shoah,1985,https://boxd.it/XSK,
92,All Watched Over by Machines of Loving Grace,2011,https://boxd.it/5Ose,
93,A New Life,2002,https://boxd.it/3q1O,
94,I Don't Want to Sleep Alone,2006,https://boxd.it/1St8,
95,Swept Away,1974,https://boxd.it/17cY,
96,"Go, Go Second Time Virgin",1969,https://boxd.it/2dkc,
97,Happiness,1998,https://boxd.it/1VEe,
