Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-07-01,TVF Pitchers,2015,,5,,,2018-05-16
2020-06-17,The Last Airbender: Origins of the Avatar,2010,,4.5,,,2018-06-20
2022-07-09,Avatar: The Last Airbender - Winter Solstice,2005,,4.5,,,2018-06-20
2023-12-05,Avatar: The Last Airbender,2005,,4.5,,,2018-06-20
2023-05-22,Yeh Meri Family,2018,,5,,,2018-07-26
2020-01-11,The Misadventures of Rick and Morty,2015,,5,,,2018-08-11
2020-12-27,One Punch Man,,,5,,,2018-08-28
2020-01-11,All Elite Wrestling: The Countdown To All Out,2019,,5,,,2019-01-12
2021-07-01,The Promised Neverland,2019,,5,,,2019-04-24
2022-07-09,The Promised Neverland,,,5,,,2019-04-24
2020-01-11,the boys: the name of the game,2019,,4,,,2019-07-29
2020-01-11,Fiona Apple: Paper Bag,2000,,3.5,,,2019-09-03
2020-09-29,Kota Factory,,,4,,,2019-10-28
2021-07-01,Modern Love: When the Doorman Is Your Main Man,,,4.5,,,2019-11-09
2020-01-11,The Witcher Documentary,2017,,4,,,2019-12-23
2020-01-11,Wrath of the Mandalorian,2008,,4,,,2019-12-29
2020-12-27,Disney Gallery / Star Wars: The Mandalorian,,,4,,,2019-12-29
2021-12-20,Star Wars: Wrath of the Mandalorian,2008,,4,,,2019-12-29
2022-07-09,The Virtual Production of The Mandalorian,2020,,4,,,2019-12-29
2023-10-08,Disney Gallery - The Mandalorian,,,4,,,2019-12-29
2025-08-09,"Vanisher, Horizon Scraper",2025,,,,,2025-08-09
2026-07-27,Good Morning India,2026,,,,,2026-07-27
