Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/2R6s0j,4.5,,"""<i>Haven't done my taxes, I'm too turnt up</i>""
<i><b>- Life Is Good</b> </i>",,2022-05-20
2024-03-15,Last Year at Marienbad,1961,https://boxd.it/63csnr,4.5,,"🕯️
          🕯️🕯️🕯️
     🕯️🕯️🕯️🕯️🕯️
🕯️🕯️🕯️🕯️🕯️🕯️🕯️
🛐 Forget-me-not 🛐",,2024-03-14
2024-03-17,Koyaanisqatsi,1982,https://boxd.it/64f44b,,,"Philip Glass : <b>Timeless
</b>Photography : <b>Timelapse 
</b><i>

</i>",,
2024-03-24,"The Devil, Probably",1977,https://boxd.it/67EJxl,,,"“But would you kindly ponder this question: What would your good do if
evil didn't exist, and what would the earth look like if all the shadows
disappeared? After all, shadows are cast by things and people. Here is the shadow of my sword. But shadows also come from trees and living beings.

Do you want to strip the earth of all trees and living things just because
of your fantasy of enjoying naked light? You're stupid.”

― Mikhail Bulgakov, The Master and Margarita",,
2024-03-31,Landscape in the Mist,1988,https://boxd.it/6aFpWJ,,,"Running into the unknown.

Ah, to catch a misty dream.

Everything changed shape

During the flashes of wonder,

Even the border and then I was awake.

Was I unknowingly hugging a dream?",,
2024-04-14,Lawrence of Arabia,1962,https://boxd.it/6gOggr,,,"<blockquote><b><i>Lisan-Al-Lawrence</i> ✋</b></blockquote>
I bet Frank Herbert was high on this film when he wrote Dune",,
2024-04-22,Sicily!,1999,https://boxd.it/6jQEXP,4,,"<blockquote>""Uno qualche volta confonde le piccolezze del mondo con le offese al mondo""</blockquote>",,2024-04-21
2024-04-28,Challengers,2024,https://boxd.it/6meaNB,4.5,,Trent Reznor & Atticus Ross : well played!,,2024-04-27
2025-01-04,Simon of the Desert,1965,https://boxd.it/8iK0gL,3.5,,"Enjoy yourself ! I've to leave . 
<i>You should stay here .</i>
Why?
<i>Where could you go? You have to stay here . You have to stay until the end . 
</i>
<blockquote>""Just as man, as a social being, cannot in the long run exist without a tie to the community, so the individual will never find the real justification for his existence, and his own spiritual and moral autonomy, anywhere except in an extramundane principle capable of relativizing the overpowering influence of external factors"" — Carl Jung</blockquote>",,2025-01-04
2025-12-29,Eternity and a Day,1998,https://boxd.it/chxFlz,5,,"Today
​(which leads me to tomorrow)

​I
between red and yellow
wait like my mother
for the signal to change, while

​Love
calls me (in words I’ve yet to borrow)
like waves surrounding
my childhood home, where

​You
(who made me dance in tomorrow)
said tomorrow is as long as eternity.",,2025-12-28
